1,1,1,10,10,1,20,0.09,9,35,23
2,1,1,10,29,1,20,0.09,9,35,23
3,1,1,10,9,1,20,0.09,9,35,23
4,1,1,10,27,1,20,0.09,9,35,23
5,1,1,10,30,1,20,0.09,9,35,23
6,1,1,10,1,1,20,0.09,9,35,23
7,1,1,10,4,1,20,0.09,9,35,23
8,1,1,10,20,1,20,0.09,9,35,23
9,1,1,10,26,1,20,0.09,9,35,23
10,1,1,10,23,1,20,0.09,9,35,23
11,1,1,10,6,1,20,0.09,9,35,23
12,1,1,10,5,1,20,0.09,9,35,23
13,1,1,10,16,1,20,0.09,9,35,23
14,1,1,10,21,1,20,0.09,9,35,23
15,1,1,10,19,1,20,0.09,9,35,23
16,1,1,10,24,1,20,0.09,9,35,23
17,1,1,10,25,1,20,0.09,9,35,23
18,1,1,10,7,1,20,0.09,9,35,23
19,1,1,10,28,1,20,0.09,9,35,23
20,1,1,10,22,1,20,0.09,9,35,23
21,1,1,10,18,1,20,0.09,9,35,23
22,1,1,10,17,1,20,0.09,9,35,23
23,1,1,10,15,1,20,0.09,9,35,23
24,1,1,10,3,1,20,0.09,9,35,23
25,1,1,10,12,1,20,0.09,9,35,23
26,1,1,10,11,1,20,0.09,9,35,23
27,1,1,10,13,1,20,0.09,9,35,23
28,1,1,10,14,1,20,0.09,9,35,23
29,1,1,10,2,1,20,0.09,9,35,23
30,1,1,10,8,1,20,0.09,9,35,23
31,1,1,10,10,1,18,1,3,68,17
32,1,1,10,29,1,18,1,3,68,17
33,1,1,10,9,1,18,1,3,68,17
34,1,1,10,27,1,18,1,3,68,17
35,1,1,10,30,1,18,1,3,68,17
36,1,1,10,1,1,18,1,3,68,17
37,1,1,10,4,1,18,1,3,68,17
38,1,1,10,20,1,18,1,3,68,17
39,1,1,10,26,1,18,1,3,68,17
40,1,1,10,23,1,18,1,3,68,17
41,1,1,10,6,1,18,1,3,68,17
42,1,1,10,5,1,18,1,3,68,17
43,1,1,10,16,1,18,1,3,68,17
44,1,1,10,21,1,18,1,3,68,17
45,1,1,10,19,1,18,1,3,68,17
46,1,1,10,24,1,18,1,3,68,17
47,1,1,10,25,1,18,1,3,68,17
