,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,21,23189,19,70606,15,114353,4,204990,2,264965,3,284532,0,388712,2,444974,2,504872,1,565244
1,21,1202,19,1202,15,26662,4,1202,2,1202,3,1202,0,2480,2,1886,2,1237,1,1202
2,21,1463,19,95,15,1462,4,1797,2,1797,3,1202,0,1202,2,1202,2,1234,1,1225
3,21,1202,19,1202,15,1202,4,1202,2,1202,3,1444,0,1333,2,1333,2,1986,1,1985
4,21,1242,19,1458,15,1458,4,1202,2,1202,3,1488,0,1202,2,1202,2,1678,1,1680
5,21,438,19,2072,15,2073,4,2042,2,2041,3,2410,0,1202,2,1202,2,1202,1,1202
6,21,1501,19,1658,15,1658,4,1362,2,1362,3,2636,0,1202,2,1202,2,1413,1,1413
7,21,1202,19,1794,15,1794,4,8406,2,8405,3,1877,0,1202,2,1202,2,1202,1,1202
8,21,1202,19,1202,15,1202,4,1366,2,1366,3,1316,0,1649,2,1649,2,1553,1,1552
9,21,1416,19,1433,15,1434,4,1202,2,1202,3,1615,0,1202,2,1202,2,1202,1,1202
10,21,1202,19,1202,15,1202,4,1259,2,1260,3,1286,0,1597,2,1597,2,1250,1,1250
11,21,1202,19,1552,15,1552,4,3990,2,3989,3,1689,0,1202,2,1202,2,1202,1,1202
12,21,1202,19,1202,15,1202,4,1221,2,1221,3,1202,0,1202,2,1202,2,1642,1,1643
13,21,1202,19,1249,15,1250,4,1670,2,1202,3,1202,0,1202,2,1202,2,1202,1,1202
14,21,1649,19,1202,15,1202,4,1239,2,1202,3,1202,0,1202,2,1202,2,1202,1,1202
15,21,1202,19,1644,15,1644,4,1202,2,1202,3,1202,0,1613,2,1613,2,1202,1,1202
16,21,1597,19,1202,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,2,1202,1,1202
17,21,1202,19,1202,15,1202,4,1255,2,1255,3,1202,0,1202,2,1202,2,1202,1,1202
18,21,1202,19,1202,15,1202,4,1880,2,1202,3,1202,0,1202,2,1202,2,1320,1,1321
19,21,1202,19,1202,15,1202,4,1202,2,1211,3,1218,0,1604,2,1604,2,1202,1,1202
20,21,1202,19,1202,15,1202,4,2464,2,1683,3,1684,0,1207,2,1207,2,1202,1,1202
21,21,1613,19,1320,15,1321,4,1202,2,1609,3,1609,0,1202,2,1202,2,1379,1,1378
22,21,1202,19,1202,15,1202,4,7014,2,1758,3,1758,0,1997,2,1997,2,1202,1,1202
23,21,1202,19,1505,15,1202,4,1202,2,1224,3,1224,0,1202,2,1202,2,1202,1,1202
24,21,1202,19,1202,15,1203,4,1353,2,1202,3,1202,0,1663,2,1661,2,1301,1,1300
25,21,1604,19,1302,15,1202,4,1202,2,1499,3,1499,0,1566,2,1567,2,1860,1,1860
26,21,1207,19,1202,15,1202,4,1276,2,1202,3,1202,0,1202,2,1202,2,1345,1,1346
27,21,1202,19,1202,15,1202,4,1202,2,1202,3,1202,0,2335,2,2335,2,1619,1,1619
28,21,1998,19,1300,15,1202,4,1241,2,1650,3,1650,0,4194,2,4194,2,1202,1,1202
29,21,1202,19,1861,15,2468,4,1202,2,1202,3,1202,0,1202,2,1202,2,1202,1,1202
30,21,1299,19,1345,15,1202,4,2614,2,1860,3,1860,0,1274,2,1276,2,1221,1,1222
31,21,1317,19,1619,15,2617,4,1621,2,1673,3,1673,0,1202,2,1202,2,2475,1,2475
32,21,1202,19,1202,15,1202,4,1202,2,5817,3,5818,0,1661,2,1662,2,2535,1,2534
33,21,1802,19,1202,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,2,1244,1,1244
34,21,1202,19,1221,15,1718,4,1873,2,1202,3,1202,0,1865,2,1865,2,1202,1,1202
35,21,1380,19,2475,15,1202,4,1726,2,3198,3,3198,0,1674,2,1673,2,1348,1,1348
36,21,1446,19,2535,15,1204,4,1202,2,1947,3,1948,0,5819,2,5820,2,1202,1,1202
37,21,1202,19,1244,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,2,1245,1,1246
38,21,794,19,1202,15,1202,4,1202,2,822,3,821,0,1202,2,1202,2,1202,1,1202
39,21,1326,19,1348,15,1202,4,1202,2,1419,3,1419,0,2589,2,2589,2,2613,1,2614
40,21,1202,19,1202,15,1202,4,1202,2,2215,3,2215,0,1949,2,1948,2,1621,1,1621
41,21,1202,19,1245,15,1202,4,1935,2,2484,3,2482,0,1202,2,1202,2,1202,1,1202
42,21,1202,19,1202,15,9927,4,1240,2,2061,3,2061,0,820,2,819,2,1202,1,1202
43,21,1202,19,2613,15,1948,4,1202,2,474,3,474,0,1419,2,1419,2,1873,1,1875
44,21,1219,19,1621,15,1202,4,1653,2,1385,3,1384,0,2216,2,2215,2,1718,1,1718
45,21,1202,19,1202,15,820,4,1294,2,1875,3,1874,0,2484,2,2483,2,1202,1,1202
46,21,1282,19,1202,15,1419,4,1202,2,1202,3,1202,0,2062,2,2061,2,1439,1,1440
47,21,1210,19,1874,15,2215,4,1202,2,799,3,799,0,474,2,474,2,1202,1,1202
48,21,1448,19,1718,15,2483,4,1202,2,1202,3,1202,0,1385,2,1384,2,1202,1,1202
49,21,1462,19,1801,15,2062,4,1549,2,1202,3,1202,0,1874,2,1875,2,1202,1,1202
50,21,1202,19,1202,15,474,4,2211,2,1368,3,1369,0,1202,2,1202,2,1934,1,1934
51,21,1383,19,1438,15,1384,4,3704,2,1202,3,1202,0,799,2,800,2,1240,1,1241
52,21,1202,19,1202,15,1875,4,1667,2,1202,3,1202,0,1202,2,1202,2,1202,1,1202
53,21,1502,19,1202,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,2,1653,1,1653
54,21,1202,19,1202,15,799,4,1202,2,1202,3,1202,0,1368,2,1369,2,1295,1,1294
55,21,1617,19,1934,15,1202,4,2169,2,1797,3,1798,0,1202,2,1202,2,1202,1,1202
56,21,1876,19,3515,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,2,1202,1,1202
57,21,1202,19,1202,15,1368,4,1986,2,1512,3,2839,0,1202,2,1202,2,1202,1,1202
58,21,801,19,1650,15,1202,4,1963,2,1202,3,1482,0,1202,2,1261,2,1551,1,1549
59,21,1202,19,1294,15,1202,4,1338,2,1250,3,1803,0,1798,2,1202,2,2212,1,2212
60,21,1202,19,1202,15,1202,4,1202,2,1202,3,1202,0,1202,2,2328,2,3704,1,3704
61,21,1368,19,1202,15,1202,4,1800,2,1202,3,1709,0,1512,2,1202,2,1666,1,1666
62,21,1202,19,1202,15,1797,4,1202,2,1202,3,1996,0,1202,2,1202,2,1202,1,1202
63,21,1202,19,1550,15,1202,4,1474,2,1202,3,3614,0,1250,2,2198,2,1202,1,1202
64,21,1202,19,1202,15,2839,4,1566,2,1202,3,1202,0,1202,2,3769,2,2169,1,2337
65,21,1202,19,1202,15,1483,4,1202,2,5357,3,1202,0,1202,2,1202,2,1202,1,1202
66,21,1797,19,1813,15,1802,4,138,2,1864,3,1202,0,1202,2,1696,2,1349,1,1202
67,21,1202,19,1202,15,1202,4,1454,2,1202,3,1884,0,1202,2,1202,2,4804,1,2198
68,21,1842,19,1513,15,1443,4,1425,2,1202,3,1202,0,1202,2,1202,2,1963,1,3768
69,21,1202,19,1202,15,1843,4,1650,2,1266,3,1408,0,2862,2,1912,2,1339,1,1202
70,21,1202,19,1250,15,1202,4,1202,2,1202,3,2766,0,1864,2,1202,2,1202,1,1696
71,21,1250,19,1202,15,1340,4,1626,2,1202,3,1202,0,1202,2,138,2,1801,1,1202
72,21,4636,19,1202,15,1202,4,1202,2,1202,3,136,0,1202,2,1453,2,1202,1,1202
73,21,1202,19,3105,15,1202,4,1289,2,1202,3,1454,0,1267,2,1425,2,1475,1,1912
74,21,1696,19,1202,15,1202,4,1281,2,4822,3,1425,0,1202,2,1652,2,2767,1,1202
75,21,1202,19,1610,15,1202,4,1202,2,1458,3,1651,0,1202,2,1202,2,1202,1,137
76,21,1202,19,2456,15,1202,4,1436,2,1739,3,1202,0,1202,2,1626,2,2073,1,1453
77,21,1912,19,1441,15,1202,4,1202,2,1450,3,1626,0,1202,2,1202,2,1202,1,1425
78,21,1202,19,1646,15,3182,4,1425,2,1424,3,1202,0,2423,2,1290,2,1248,1,1651
79,21,137,19,1202,15,1501,4,1202,2,1202,3,1289,0,1202,2,2558,2,1262,1,1202
80,21,1454,19,1501,15,1202,4,1520,2,1273,3,1299,0,1856,2,1202,2,1202,1,1626
81,21,1425,19,1202,15,136,4,2125,2,1341,3,1202,0,1238,2,1806,2,1202,1,1202
82,21,1651,19,1202,15,1454,4,7902,2,2637,3,1436,0,1202,2,1202,2,1202,1,1290
83,21,1202,19,2262,15,1425,4,1429,2,2273,3,1202,0,1274,2,1202,2,1202,1,2558
84,21,1627,19,1464,15,1651,4,1973,2,1416,3,1425,0,1342,2,1244,2,2260,1,1202
85,21,1202,19,1738,15,1202,4,1364,2,1391,3,1202,0,2638,2,1202,2,1465,1,1806
86,21,1202,19,1450,15,1626,4,1362,2,1652,3,1520,0,2272,2,1216,2,1738,1,1202
87,21,2359,19,1424,15,1202,4,1202,2,1202,3,2126,0,1416,2,1202,2,1450,1,1202
88,21,1202,19,1202,15,1289,4,1202,2,1383,3,3606,0,1392,2,1369,2,1424,1,1244
89,21,1202,19,1274,15,1300,4,1202,2,1202,3,1684,0,1651,2,1202,2,1202,1,1202
90,21,1619,19,1341,15,1202,4,1339,2,1292,3,1202,0,1202,2,1202,2,1274,1,1216
91,21,1202,19,2637,15,1436,4,1202,2,1442,3,1202,0,1383,2,1303,2,1341,1,1202
92,21,1514,19,1248,15,1202,4,1240,2,1417,3,1202,0,1202,2,1202,2,2637,1,1370
93,21,1614,19,1313,15,1425,4,1202,2,1477,3,1618,0,1293,2,1383,2,1248,1,1202
94,21,1203,19,1202,15,1202,4,247,2,1202,3,1202,0,1441,2,1202,2,1313,1,1202
95,21,3072,19,1202,15,1520,4,2119,2,1202,3,1203,0,1416,2,1292,2,1202,1,1303
96,21,1202,19,1202,15,2126,4,1580,2,1202,3,1224,0,1478,2,1442,2,1202,1,1202
97,21,1387,19,1570,15,3606,4,3184,2,1377,3,1826,0,1202,2,1417,2,1202,1,1383
98,21,1202,19,1600,15,1684,4,1202,2,1384,3,1784,0,1202,2,1477,2,1569,1,1202
99,21,1202,19,1202,15,1202,4,1202,2,1490,3,1202,0,1202,2,1202,2,1601,1,1293
100,21,1475,19,1202,15,1202,4,1202,2,1202,3,1671,0,1378,2,1202,2,1299,1,1442
101,21,1202,19,2260,15,1202,4,1202,2,1202,3,1202,0,1418,2,1202,2,1202,1,1416
102,21,1202,19,1783,15,1618,4,1202,2,1202,3,1406,0,1494,2,1378,2,1202,1,1477
103,21,1202,19,1202,15,1202,4,1202,2,1525,3,1395,0,1202,2,1383,2,1261,1,1202
104,21,1340,19,1670,15,1203,4,1202,2,1202,3,1202,0,1202,2,1490,2,1202,1,1202
105,21,1202,19,1589,15,1224,4,1202,2,1202,3,1202,0,1202,2,1202,2,1422,1,1202
106,21,1240,19,1793,15,1825,4,1269,2,1202,3,1202,0,1525,2,1202,2,1202,1,1378
107,21,1202,19,1202,15,1784,4,1202,2,1499,3,1202,0,1202,2,1202,2,1406,1,1202
108,21,249,19,1202,15,1202,4,1685,2,1202,3,1202,0,1202,2,1525,2,1394,1,1356
109,21,2118,19,1202,15,1671,4,1202,2,1243,3,1758,0,1202,2,1202,2,1202,1,1202
110,21,1581,19,1202,15,1202,4,1202,2,1793,3,1202,0,1499,2,1202,2,1202,1,1202
111,21,4350,19,1768,15,1407,4,1752,2,1202,3,2087,0,1202,2,1202,2,1202,1,1202
112,21,1227,19,1202,15,1395,4,1735,2,1257,3,1202,0,1243,2,1500,2,1202,1,1202
113,21,1202,19,2194,15,1202,4,2196,2,1202,3,1202,0,1793,2,1202,2,1202,1,1202
114,21,1202,19,1360,15,1202,4,1202,2,1202,3,1753,0,1202,2,1243,2,1758,1,1202
115,21,1202,19,26111,15,1202,4,1202,2,1202,3,1735,0,1257,2,1793,2,1202,1,1202
116,21,1202,19,1832,15,1202,4,1202,2,1202,3,2195,0,1202,2,1202,2,2088,1,1271
117,21,1202,19,1202,15,1202,4,1202,2,1202,3,1202,0,1202,2,1257,2,1202,1,1202
118,21,1202,19,1202,15,1759,4,1202,2,1202,3,1202,0,1202,2,1202,2,1202,1,1684
119,21,1202,19,1202,15,1202,4,1575,2,1378,3,1202,0,1202,2,1202,2,1752,1,1202
120,21,1269,19,1977,15,2086,4,1328,2,1716,3,1202,0,1202,2,1202,2,1735,1,1202
121,21,1202,19,1202,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,2,2196,1,1751
122,21,1684,19,1202,15,1506,4,1202,2,1202,3,1574,0,1378,2,1202,2,1202,1,1735
123,21,1202,19,1625,15,1202,4,1202,2,1202,3,1327,0,1715,2,1202,2,1202,1,2194
124,21,1202,19,1202,15,1257,4,1202,2,1202,3,1202,0,1202,2,1379,2,1202,1,1202
125,21,1752,19,1202,15,1202,4,1202,2,1202,3,1202,0,1202,2,1715,2,1202,1,1202
126,21,1735,19,1202,15,1202,4,1267,2,1202,3,1202,0,1202,2,1202,2,1202,1,1202
127,21,2196,19,269,15,1202,4,1221,2,1464,3,1202,0,1202,2,1202,2,1575,1,1202
128,21,1202,19,1202,15,1202,4,1318,2,1202,3,1202,0,1202,2,1202,2,1328,1,1202
129,21,1202,19,1202,15,1202,4,1202,2,1202,3,1266,0,1202,2,1202,2,1202,1,1574
130,21,1202,19,1202,15,1202,4,1216,2,1202,3,1221,0,1464,2,1202,2,1202,1,1327
131,21,1202,19,1202,15,1379,4,1202,2,1202,3,1318,0,1202,2,1202,2,1202,1,1202
132,21,1202,19,1202,15,1716,4,1202,2,1202,3,1202,0,1202,2,1464,2,1202,1,1202
133,21,1066,19,1202,15,1202,4,1202,2,1202,3,1216,0,1202,2,1202,2,1202,1,1202
134,21,1485,19,1246,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,2,1202,1,1202
135,21,1358,19,1643,15,1202,4,1267,2,1202,3,1202,0,1202,2,1202,2,1464,1,1202
136,21,1202,19,1202,15,1202,4,1450,2,1202,3,1202,0,1202,2,1202,2,1202,1,1266
137,21,1202,19,1202,15,1202,4,1202,2,2058,3,1202,0,1202,2,1202,2,1202,1,1221
138,21,1202,19,1585,15,1202,4,1690,2,1236,3,1267,0,1202,2,1202,2,1202,1,1317
139,21,1202,19,2425,15,1464,4,1495,2,1202,3,1451,0,1202,2,1202,2,1203,1,1202
140,21,1202,19,1202,15,1202,4,1944,2,1834,3,1202,0,2058,2,1202,2,1202,1,1216
141,21,1267,19,1223,15,1202,4,1202,2,1202,3,1690,0,1236,2,1202,2,1202,1,1202
142,21,1222,19,1202,15,1202,4,1202,2,1202,3,1495,0,1202,2,2059,2,1202,1,1202
143,21,1318,19,1202,15,1202,4,1570,2,2004,3,1943,0,1834,2,1237,2,1202,1,1202
144,21,1202,19,1202,15,1202,4,1202,2,1459,3,1202,0,1202,2,1202,2,1202,1,1202
145,21,1216,19,1202,15,1202,4,1202,2,1354,3,1202,0,1202,2,1834,2,2058,1,1267
146,21,1202,19,1202,15,1202,4,1202,2,1294,3,1570,0,2003,2,2079,2,1237,1,1451
147,21,1202,19,1591,15,1202,4,1202,2,1202,3,1202,0,1458,2,1202,2,1202,1,1202
148,21,1202,19,1202,15,1202,4,1202,2,1851,3,1202,0,1354,2,1202,2,1834,1,1690
149,21,1202,19,1760,15,2058,4,1202,2,1746,3,1202,0,1293,2,1570,2,1202,1,1494
150,21,1267,19,1496,15,1237,4,1590,2,1758,3,1202,0,1202,2,1202,2,1202,1,1943
151,21,1452,19,1289,15,1202,4,1202,2,1202,3,1202,0,1852,2,1202,2,2004,1,1202
152,21,1202,19,1235,15,1834,4,1760,2,1202,3,1202,0,1746,2,1202,2,1459,1,1202
153,21,1690,19,1202,15,1202,4,1496,2,1202,3,1590,0,1758,2,1202,2,1354,1,1514
154,21,1495,19,1483,15,1202,4,1289,2,1202,3,1202,0,1202,2,1202,2,1293,0,0
155,21,1943,19,1202,15,2003,4,1235,2,1656,3,1760,0,1202,2,1202,2,1202,0,0
156,21,1202,19,1284,15,1459,4,1202,2,1272,3,1496,0,1202,2,1590,2,1852,0,0
157,21,1202,19,1202,15,1354,4,1483,2,1571,3,1290,0,1202,2,1202,2,1746,0,0
158,21,1570,19,1202,15,1294,4,1202,2,1273,3,1234,0,1657,2,1761,2,1758,0,0
159,21,1202,19,1202,15,1202,4,1284,2,1202,3,1202,0,1273,2,1496,2,1202,0,0
160,21,1202,19,1202,15,1851,4,1202,2,1296,3,1483,0,1572,2,1289,2,1202,0,0
161,21,1202,19,1202,15,1747,4,1202,2,1254,3,1202,0,1273,2,1235,2,1202,0,0
162,21,1202,19,1202,15,1758,4,1202,2,1681,3,1284,0,1202,2,1202,2,1202,0,0
163,21,1202,19,1202,15,1202,4,1202,2,1202,3,1202,0,1295,2,1483,2,1656,0,0
164,21,1202,19,1474,15,1202,4,1202,2,1202,3,1202,0,1253,2,1202,2,1272,0,0
165,21,1590,19,1491,15,1202,4,1202,2,1202,3,1202,0,1682,2,1284,2,1571,0,0
166,21,1202,19,1202,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,2,1274,0,0
167,21,1761,19,1202,15,1657,4,2496,2,1537,3,1202,0,1202,2,1202,2,1202,0,0
168,21,1495,19,1202,15,1272,4,1398,2,1418,3,1202,0,1202,2,1202,2,1296,0,0
169,21,1290,19,1202,15,1572,4,1479,2,1479,3,1202,0,1202,2,1202,2,1253,0,0
170,21,1234,19,1202,15,1273,4,1306,2,1306,3,1474,0,1536,2,1202,2,1682,0,0
171,21,1202,19,1202,15,1202,4,1202,2,1202,3,1491,0,1418,2,1202,0,0,0,0
172,21,1483,19,1202,15,1296,4,1202,2,1202,3,980,0,1479,2,1202,0,0,0,0
173,21,1202,19,1202,15,1253,4,1202,2,1202,3,2107,0,1306,2,1475,0,0,0,0
174,21,1243,19,1496,15,1682,4,1202,2,1202,3,1261,0,1202,2,1491,0,0,0,0
175,21,1267,19,1449,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,0,0,0,0
176,21,1252,19,2009,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,0,0,0,0
177,21,1684,19,1202,15,1202,4,1252,2,1252,3,1202,0,1202,2,1202,0,0,0,0
178,21,1202,19,1202,15,1202,4,1202,2,1202,3,1202,0,1202,2,1202,0,0,0,0
179,21,1202,19,1777,15,1536,4,1916,2,1915,3,1202,0,1202,2,1202,0,0,0,0
180,21,1202,19,1539,15,1418,4,1202,2,1202,3,1202,0,1252,2,1202,0,0,0,0
181,21,1202,19,3268,15,1479,4,1927,2,1927,3,1251,0,1202,2,1202,0,0,0,0
182,21,1536,19,1202,15,1306,4,1202,2,1202,3,1202,0,1914,2,1202,0,0,0,0
