,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking,n_targets,n_merchants,n_submarines,seeds,max_samples,speed_sub,P_k,Lam_T,Lam_M,speed_target
1030,38.0,7929.584905660377,16.849056603773583,9124.358490566037,3.7358490566037736,9798.924528301886,3.1132075471698113,10416.584905660377,2.339622641509434,9912.566037735849,1.1320754716981132,11527.188679245282,1.9622641509433962,13005.264150943396,0.4716981132075472,13575.396226415094,0.0,13379.415094339623,0.0,14465.415094339623,1.0,1.0,10.0,25.0,1.0,7.0,0.28,8.0,12.0,14.0
1031,41.0,8607.771929824561,17.68421052631579,8623.701754385966,3.6842105263157894,9518.280701754386,5.842105263157895,10086.736842105263,0.47368421052631576,10169.438596491229,0.0,11491.052631578947,0.0,11753.263157894737,0.9122807017543859,10711.491228070176,0.40350877192982454,11480.280701754386,0.0,14520.982456140351,1.0,1.0,10.0,9.0,1.0,7.0,0.28,8.0,12.0,14.0
1032,46.0,9839.0,16.703703703703702,9902.75925925926,2.1481481481481484,9925.851851851852,1.5555555555555556,10245.518518518518,1.6666666666666667,12045.333333333334,2.5,12080.851851851852,1.0,12667.555555555555,0.4444444444444444,12393.907407407407,0.0,12937.851851851852,0.2962962962962963,13581.425925925925,1.0,1.0,10.0,24.0,1.0,7.0,0.28,8.0,12.0,14.0
1033,45.0,7706.214285714285,16.428571428571427,8888.339285714286,8.357142857142858,10523.339285714286,1.0357142857142858,10749.267857142857,1.5535714285714286,10689.160714285714,0.0,12568.69642857143,0.5178571428571429,11867.517857142857,0.42857142857142855,13083.517857142857,0.0,12161.42857142857,0.0,12973.107142857143,1.0,1.0,10.0,11.0,1.0,7.0,0.28,8.0,12.0,14.0
1034,50.0,8571.852459016394,17.311475409836067,7542.229508196721,15.737704918032787,9471.377049180328,4.459016393442623,9640.16393442623,0.5245901639344263,9900.459016393443,0.0,10611.491803278688,0.45901639344262296,10787.704918032787,0.45901639344262296,11336.098360655738,0.4426229508196721,12407.803278688525,0.0,12957.672131147541,1.0,1.0,10.0,23.0,1.0,7.0,0.28,8.0,12.0,14.0
1035,90.0,4292.824,59.904,4009.024,9.48,4102.504,10.112,4476.04,6.528,5027.36,0.48,5728.544,2.04,5965.472,0.752,6498.616,0.0,6251.768,0.24,6473.016,1.0,1.0,10.0,2.0,1.0,18.0,0.44,18.0,29.0,10.0
1036,43.0,10134.520833333334,15.833333333333334,10318.5625,7.104166666666667,11054.145833333334,1.0833333333333333,12074.625,2.75,12578.291666666666,1.4375,14615.083333333334,0.0,15100.4375,0.0,14772.520833333334,0.0,13427.333333333334,0.0,15290.25,1.0,1.0,10.0,21.0,1.0,7.0,0.28,8.0,12.0,14.0
1037,50.0,7353.457627118644,22.610169491525422,8335.525423728814,4.338983050847458,8806.915254237289,1.0847457627118644,8088.457627118644,0.4576271186440678,11626.593220338984,0.0,8649.983050847457,0.7796610169491526,12625.22033898305,0.4406779661016949,10811.966101694916,1.271186440677966,12537.016949152543,0.0,12793.22033898305,1.0,1.0,10.0,15.0,1.0,7.0,0.28,8.0,12.0,14.0
1038,41.0,9971.282608695652,17.804347826086957,13095.869565217392,5.6521739130434785,13658.217391304348,5.391304347826087,12735.978260869566,0.5217391304347826,13229.152173913044,0.0,13837.565217391304,1.434782608695652,13042.434782608696,0.0,15028.434782608696,0.0,15111.565217391304,0.0,15773.152173913044,1.0,1.0,10.0,28.0,1.0,7.0,0.28,8.0,12.0,14.0
1039,37.0,9166.69387755102,31.0,10668.142857142857,3.5510204081632653,10475.34693877551,1.7755102040816326,11584.040816326531,0.0,13592.877551020409,0.5510204081632653,12580.020408163266,0.9795918367346939,14180.979591836734,1.0612244897959184,13021.979591836734,0.0,16390.897959183672,0.0,15752.244897959185,1.0,1.0,10.0,2.0,1.0,7.0,0.28,8.0,12.0,14.0
1040,49.0,9673.153846153846,17.365384615384617,10667.884615384615,4.3076923076923075,9105.653846153846,2.3076923076923075,9651.826923076924,0.4423076923076923,10944.846153846154,0.8846153846153846,12418.403846153846,0.8461538461538461,12433.115384615385,0.0,15317.173076923076,0.40384615384615385,14423.865384615385,0.0,13438.788461538461,1.0,1.0,10.0,26.0,1.0,7.0,0.28,8.0,12.0,14.0
1041,36.0,9452.923076923076,15.0,10539.192307692309,2.5384615384615383,10722.307692307691,4.923076923076923,9906.173076923076,1.1153846153846154,11125.115384615385,0.4423076923076923,10543.096153846154,0.0,11999.807692307691,0.0,13040.48076923077,0.0,14422.884615384615,0.0,13744.807692307691,1.0,1.0,10.0,14.0,1.0,7.0,0.28,8.0,12.0,14.0
1042,43.0,9788.966101694916,16.033898305084747,9277.457627118643,6.254237288135593,9486.50847457627,2.9661016949152543,10954.881355932202,2.1016949152542375,9597.728813559323,0.0,12687.338983050848,0.4406779661016949,11086.49152542373,0.0,12799.084745762711,0.0,12775.254237288136,0.0,11687.457627118643,1.0,1.0,10.0,30.0,1.0,7.0,0.28,8.0,12.0,14.0
1043,44.0,9860.120689655172,12.60344827586207,9288.48275862069,3.5172413793103448,10605.051724137931,1.706896551724138,9622.01724137931,0.0,11508.258620689656,0.9655172413793104,11188.120689655172,0.43103448275862066,11599.775862068966,0.39655172413793105,12250.586206896553,0.3793103448275862,11964.103448275862,0.7241379310344828,13358.879310344828,1.0,1.0,10.0,4.0,1.0,7.0,0.28,8.0,12.0,14.0
1044,60.0,2500.684210526316,43.27751196172249,2697.3205741626793,17.607655502392344,2541.4545454545455,5.660287081339713,2657.9186602870814,2.1961722488038276,2974.7416267942585,2.8708133971291865,2968.755980861244,0.0,3044.4545454545455,5.684210526315789,3232.0143540669856,0.0,3221.9234449760766,0.0,3149.717703349282,1.0,1.0,10.0,19.0,1.0,10.0,0.84,16.0,79.0,16.0
1045,66.0,2287.8036529680367,27.876712328767123,2328.4383561643835,12.397260273972602,2626.7625570776254,2.7945205479452055,2744.283105022831,1.360730593607306,2750.6849315068494,0.0,2919.9132420091323,0.0,2857.9086757990867,0.5662100456621004,3154.4520547945203,1.6849315068493151,3210.5479452054797,0.0,3153.0,1.0,1.0,10.0,6.0,1.0,10.0,0.84,16.0,79.0,16.0
