,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,22,14845,9,48932,5,84078,3,118090,1,152691,2,186948,0,220864,1,254629,0,289951,0,323266
1,22,2092,9,2363,5,1601,3,2501,1,1600,2,1469,0,2086,1,2364,0,2083,0,2360
2,22,1333,9,1346,5,1202,3,1346,1,1202,2,1202,0,1333,1,1346,0,1333,0,1346
3,22,2576,9,2575,5,1524,3,2575,1,1524,2,2575,0,2575,1,2575,0,2576,0,2576
4,22,1404,9,1404,5,2893,3,1404,1,2895,2,1431,0,1404,1,1404,0,1404,0,1404
5,22,1786,9,1202,5,2018,3,1787,1,2017,2,1202,0,1786,1,1787,0,1787,0,1787
6,22,2094,9,1202,5,1939,3,2094,1,1939,2,1569,0,2094,1,2093,0,2094,0,2095
7,22,483,9,1623,5,5190,3,483,1,5192,2,1878,0,483,1,483,0,483,0,482
8,22,2788,9,1885,5,2290,3,2788,1,2290,2,1819,0,2788,1,2788,0,2788,0,2787
9,22,1505,9,1819,5,633,3,1504,1,635,2,1539,0,1504,1,1505,0,1505,0,1505
10,22,1860,9,1539,5,2665,3,1860,1,2664,2,488,0,1860,1,1860,0,1860,0,1860
11,22,1202,9,488,5,2779,3,1202,1,2779,2,1508,0,1202,1,1202,0,1202,0,1202
12,22,1236,9,1509,5,3542,3,1236,1,3538,2,1667,0,1235,1,1235,0,1235,0,1235
13,22,1202,9,1667,5,2716,3,1202,1,2716,2,1905,0,1202,1,1202,0,1202,0,1202
14,22,1631,9,1905,5,4372,3,2188,1,4375,2,2145,0,2188,1,3991,0,2188,0,2187
15,22,2090,9,3413,5,1202,3,1848,1,1202,2,2687,0,1848,1,1788,0,1848,0,1848
16,22,2501,9,2674,5,8007,3,3035,1,8016,2,3595,0,2484,1,2935,0,2485,0,2832
17,22,690,9,2328,5,2070,3,1202,1,2070,2,1839,0,1202,1,1202,0,1202,0,2477
18,22,4361,9,10273,5,1202,3,1202,1,1202,2,2637,0,1202,1,1708,0,1202,0,1202
19,22,1202,9,1354,5,4328,3,13632,1,4326,2,1545,0,5124,1,1583,0,10954,0,5950
20,22,5840,9,3922,5,2915,3,2041,1,2914,2,4435,0,3349,1,3942,0,4668,0,3328
21,22,1433,9,1986,5,2416,3,1202,1,2415,2,4111,0,1620,1,1202,0,1980,0,1620
22,22,1501,9,2569,5,2911,3,6574,1,2914,2,1880,0,2115,1,1627,0,2981,0,2115
23,22,1625,9,5334,5,1718,3,2932,1,1718,2,2634,0,1202,1,1712,0,1456,0,1202
24,22,2115,9,1202,5,2937,3,1409,1,2613,2,1750,0,1511,1,2633,0,3933,0,1511
25,22,1202,9,1503,5,3029,3,2477,1,2220,2,11353,0,1202,1,1648,0,5332,0,1202
26,22,1509,9,1202,5,1237,3,4076,1,2333,2,9263,0,2361,1,1476,0,1202,0,2361
27,22,1202,9,2361,5,1642,3,1202,1,5017,2,5120,0,1748,1,8462,0,3504,0,1627
28,22,3064,9,1643,5,1254,3,2857,1,1516,2,2351,0,2894,1,7909,0,3466,0,1476
29,22,1825,9,1476,5,1271,3,5021,1,1453,2,5824,0,3131,1,2005,0,2993,0,2884
30,22,2273,9,2239,5,1378,3,2791,1,1506,2,1514,0,1237,1,1317,0,1237,0,2969
31,22,3091,9,2288,5,1505,3,1237,1,1958,2,1454,0,1642,1,1272,0,1642,0,1642
32,22,3044,9,1625,5,1958,3,1642,1,1407,2,1507,0,3202,1,1379,0,3172,0,2346
33,22,1237,9,2346,5,1408,3,3942,1,1202,2,1561,0,2320,1,1504,0,2318,0,8627
34,22,1642,9,6902,5,1202,3,2594,1,1568,2,1214,0,1202,1,1958,0,1202,0,1275
35,22,3861,9,3245,5,1567,3,1202,1,1833,2,1202,0,1885,1,1408,0,1884,0,1378
36,22,2595,9,1532,5,1832,3,1886,1,2396,2,1202,0,1202,1,1202,0,1202,0,1504
37,22,1202,9,1514,5,2395,3,1202,1,4182,2,2550,0,1202,1,1567,0,1202,0,1960
38,22,1885,9,1962,5,3358,3,1202,1,2756,2,2701,0,1202,1,1832,0,1202,0,1407
39,22,1202,9,1407,5,1202,3,1202,1,1202,2,1568,0,2549,1,2396,0,2548,0,1202
40,22,1202,9,1202,5,3823,3,2546,1,1065,2,1967,0,2701,1,3358,0,2628,0,1567
41,22,1202,9,1566,5,2836,3,2703,1,1514,2,1675,0,1568,1,1202,0,1636,0,1833
42,22,2546,9,1833,5,3803,3,1568,1,4212,2,368,0,3860,1,3827,0,3881,0,2699
43,22,2703,9,5478,5,1241,3,8636,1,1694,2,1202,0,1777,1,2836,0,1776,0,4220
44,22,1202,9,4379,5,1202,3,1373,1,2583,2,1202,0,1259,1,3802,0,277,0,4241
45,22,2777,9,946,5,1202,3,1272,1,1476,2,890,0,1699,1,1242,0,1202,0,1202
46,22,1202,9,2310,5,1202,3,1202,1,1887,2,1480,0,2293,1,1454,0,1202,0,1066
47,22,2510,9,1377,5,1607,3,1462,1,1439,2,4213,0,2605,1,4033,0,891,0,1514
48,22,2938,9,1737,5,1456,3,1422,1,1321,2,1694,0,1490,1,6176,0,1480,0,5309
49,22,2688,9,2248,5,1435,3,3472,1,1205,2,2239,0,3407,1,1202,0,7109,0,1689
50,22,1240,9,4429,5,1202,3,6184,1,2145,2,1476,0,1466,1,1410,0,3419,0,2587
