,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,17,15824,6,49264,5,83341,2,117266,2,151656,1,186430,0,220098,0,255036,0,288931,1,323369
1,17,1421,6,1202,5,1202,2,1803,2,1634,1,1202,0,1641,0,1202,0,1779,1,1762
2,17,1202,6,1202,5,1228,2,1450,2,2362,1,1229,0,2362,0,1202,0,1447,1,1448
3,17,1461,6,2664,5,2306,2,1202,2,1514,1,2305,0,1513,0,2295,0,1202,1,1202
4,17,1202,6,2057,5,1404,2,7269,2,8599,1,1404,0,7636,0,1392,0,10595,1,4367
5,17,2254,6,2431,5,1702,2,1323,2,1202,1,1718,0,1202,0,537,0,1346,1,1202
6,17,1202,6,1202,5,1202,2,1848,2,2260,1,1202,0,1361,0,2529,0,1860,1,1361
7,17,1202,6,1358,5,2254,2,1298,2,1202,1,2254,0,1843,0,1202,0,1298,1,1844
8,17,2113,6,1844,5,1202,2,1948,2,1202,1,1202,0,1298,0,1202,0,1950,1,1298
9,17,3316,6,1298,5,1202,2,2661,2,2114,1,1202,0,1948,0,2113,0,2662,1,1948
10,17,2305,6,1948,5,2114,2,2306,2,3317,1,2114,0,2662,0,3316,0,2308,1,2662
11,17,5491,6,2662,5,6331,2,3256,2,2306,1,3315,0,2308,0,2306,0,3256,1,1202
12,17,3880,6,2307,5,1013,2,3019,2,5489,1,3511,0,3256,0,5489,0,3019,1,226
13,17,1202,6,3255,5,1202,2,557,2,3881,1,5504,0,3019,0,3880,0,557,1,1345
14,17,1010,6,3019,5,1370,2,1202,2,1202,1,3880,0,557,0,1202,0,1202,1,1214
15,17,8885,6,554,5,1202,2,1304,2,1013,1,1202,0,1202,0,1009,0,1304,1,1663
16,17,2281,6,1202,5,1504,2,1520,2,3843,1,1012,0,1304,0,3842,0,3754,1,1153
17,17,5361,6,1304,5,1202,2,1257,2,1368,1,4616,0,3009,0,1368,0,1429,1,6618
18,17,1797,6,2531,5,1202,2,2643,2,1821,1,2409,0,2776,0,2583,0,1825,1,1256
19,17,1202,6,3314,5,2231,2,2111,2,1690,1,1401,0,1598,0,2339,0,1661,1,1983
20,17,3252,6,2629,5,1202,2,1202,2,1403,1,6046,0,1728,0,1202,0,1403,1,1202
21,17,4721,6,1691,5,1202,2,1202,2,1202,1,1833,0,1202,0,1202,0,1202,1,1202
22,17,2543,6,1202,5,1202,2,467,2,1202,1,1202,0,2471,0,468,0,1202,1,467
