,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,74,18859,47,63960,26,108753,7,154680,3,199207,3,249417,2,292317,3,336837,2,379912,0,425693
1,74,2381,47,1556,26,1464,7,1727,3,1509,3,1202,2,1202,3,1202,2,1245,0,1716
2,74,2957,47,1261,26,3028,7,2985,3,2997,3,1497,2,1443,3,1443,2,1202,0,1574
3,74,1727,47,1248,26,1282,7,2391,3,7478,3,4714,2,3674,3,3674,2,2396,0,1457
4,74,6998,47,2331,26,1202,7,2503,3,1747,3,3119,2,3073,3,3073,2,1202,0,1202
5,74,1546,47,3066,26,1997,7,1648,3,2165,3,1693,2,1693,3,1693,2,3798,0,1996
6,74,2529,47,5672,26,1202,7,2528,3,1202,3,1202,2,1202,3,1202,2,7901,0,1202
7,74,1343,47,2213,26,1857,7,1343,3,1202,3,1858,2,1858,3,1858,2,1202,0,1857
8,74,1202,47,1673,26,2454,7,1202,3,13299,3,2454,2,2455,3,2455,2,2504,0,2454
9,74,7725,47,1202,26,3677,7,19333,3,1202,3,1456,2,1509,3,8263,2,1444,0,1315
10,74,9076,47,1327,26,1809,7,7083,3,1202,3,1202,2,1202,3,1202,2,1497,0,1202
11,74,1202,47,8348,26,1854,7,3035,3,2501,3,2501,2,2468,3,1644,2,7302,0,2507
12,74,1644,47,1202,26,2345,7,2381,3,1583,3,1583,2,1202,3,1378,2,3140,0,1585
13,74,1590,47,1644,26,1202,7,1202,3,1202,3,1202,2,1202,3,5674,2,2131,0,1202
14,74,1509,47,1377,26,1202,7,1202,3,1449,3,1449,2,1449,3,1695,2,1202,0,1449
15,74,5687,47,5674,26,1161,7,2033,3,1434,3,1435,2,1434,3,1543,2,1202,0,1435
16,74,1706,47,1698,26,1340,7,4378,3,1202,3,1202,2,1202,3,1822,2,2032,0,1202
17,74,1545,47,1542,26,1202,7,1933,3,2077,3,1420,2,6810,3,7195,2,4378,0,7199
18,74,1822,47,1823,26,2856,7,2303,3,1349,3,1202,2,1544,3,1312,2,5178,0,1543
19,74,1856,47,9892,26,1202,7,1202,3,1575,3,1453,2,2337,3,1307,2,9099,0,2336
20,74,13082,47,1650,26,1202,7,2071,3,2640,3,2622,2,2184,3,1294,2,1202,0,2185
21,74,1713,47,1568,26,2447,7,1208,3,3101,3,4548,2,1410,3,1770,2,2430,0,1202
22,74,4600,47,2639,26,1202,7,1202,3,1542,3,1609,2,1684,3,2514,2,2181,0,2339
23,74,1701,47,3100,26,1202,7,1968,3,3783,3,2596,2,1650,3,2069,2,1246,0,1806
24,74,2641,47,1540,26,3117,7,1806,3,1202,3,1202,2,1202,3,1438,2,1702,0,1202
25,74,1202,47,3783,26,1541,7,2495,3,5826,3,5806,2,6684,3,1493,2,1650,0,9906
26,74,5819,47,1202,26,2596,7,1202,3,4202,3,3660,2,4315,3,1202,2,1202,0,4272
27,74,4200,47,5826,26,1202,7,3803,3,1202,3,1202,2,6752,3,2645,2,6684,0,5441
28,74,1202,47,1946,26,5806,7,3073,3,1990,3,2181,2,3849,3,1252,2,4856,0,2410
29,74,3992,47,2687,26,3391,7,1202,3,1202,3,1932,2,1202,3,1202,2,1202,0,1202
30,74,2217,47,1202,26,2218,7,1990,3,1202,3,4467,2,2788,3,1465,2,2156,0,2195
31,74,3093,47,1392,26,1287,7,1202,3,2012,3,1202,2,5357,3,1801,2,1931,0,10425
32,74,4881,47,1250,26,1202,7,2006,3,1416,3,2135,2,1859,3,1413,2,2932,0,1849
33,74,5984,47,1202,26,1202,7,1202,3,1621,3,8630,2,1534,3,2198,2,1202,0,1536
34,74,1202,47,1202,26,1274,7,1951,3,1202,3,5704,2,7053,3,1202,2,2158,0,1466
35,74,1202,47,1265,26,1601,7,1452,3,6574,3,1929,2,790,3,1364,2,8835,0,2319
36,74,1333,47,1600,26,2456,7,1527,3,1202,3,1202,2,1964,3,1202,2,1851,0,2814
37,74,575,47,2451,26,1202,7,1202,3,3943,3,4037,2,1327,3,1452,2,1535,0,1290
38,74,1596,47,1202,26,1654,7,4738,3,1409,3,1672,2,1394,3,1453,2,1449,0,1680
39,74,1202,47,1454,26,1327,7,1202,3,1704,3,1202,2,1628,3,1202,2,2320,0,1589
40,74,1442,47,1202,26,1394,7,3942,3,13454,3,1202,2,11591,3,1271,2,2814,0,3328
41,74,2320,47,1202,26,1628,7,1394,3,1202,3,1202,2,1443,3,8111,2,1290,0,1944
42,74,2380,47,1632,26,9946,7,1703,3,1620,3,2089,2,1918,3,1261,2,1680,0,1378
43,74,1202,47,1318,26,1202,7,13843,3,1202,3,1542,2,1202,3,1680,2,1589,0,2636
44,74,1501,47,11754,26,1620,7,1202,3,1664,3,203,2,3088,3,1589,2,3329,0,1202
45,74,11408,47,2357,26,1202,7,1620,3,1935,3,2160,2,1844,3,3329,2,1944,0,3118
46,74,1202,47,384,26,1665,7,1202,3,1202,3,10740,2,1884,3,1945,2,1377,0,2881
47,74,1525,47,1688,26,1956,7,1664,3,1603,3,1202,2,8462,3,1377,2,2636,0,1792
48,74,73,47,6732,26,1202,7,1935,3,1202,3,1626,2,2001,3,2637,2,1202,0,3051
49,74,1777,47,1222,26,2101,7,1202,3,1428,3,2067,2,577,3,1202,2,3118,0,2215
50,74,1202,47,1868,26,6661,7,1603,3,1202,3,1279,2,1716,3,3117,2,1239,0,4010
51,74,2075,47,4399,26,1803,7,1996,3,4446,3,1202,2,2962,3,2881,2,1860,0,1896
52,74,1592,47,3556,26,1890,7,1279,3,10130,3,1506,2,1202,3,1792,2,1573,0,3829
53,74,1202,47,568,26,8961,7,1202,3,2459,3,1202,2,1787,3,3050,2,1202,0,1567
54,74,1796,47,1715,26,1202,7,1505,3,4363,3,1599,2,3909,3,2215,2,1497,0,1202
55,74,1599,47,1829,26,1722,7,1202,3,1202,3,656,2,6925,3,4010,2,1202,0,1452
56,74,1202,47,9680,26,2497,7,1599,3,1359,3,18642,2,1202,3,1897,2,1599,0,1751
57,74,3602,47,1753,26,3263,7,656,3,1202,3,3141,2,1202,3,5077,2,656,0,1570
58,74,1202,47,1202,26,7658,7,15578,3,3511,3,1202,2,7880,3,1567,2,14679,0,1222
59,74,1505,47,1202,26,1202,7,2034,3,1684,3,1202,2,1551,3,1202,2,1852,0,1390
60,74,1202,47,1262,26,1202,7,1611,3,1795,3,245,2,1620,3,1453,2,7548,0,1202
61,74,1599,47,10435,26,7865,7,1723,3,1509,3,1202,2,1508,3,1751,2,1202,0,5451
62,74,656,47,1501,26,1551,7,17494,3,2416,3,5229,2,2415,3,1570,2,1202,0,1683
63,74,14621,47,1963,26,1620,7,3435,3,5688,3,1458,2,2533,3,1212,2,3344,0,1796
64,74,1798,47,1202,26,1509,7,1275,3,1934,3,2425,2,1511,3,1387,2,1452,0,1508
65,74,1202,47,2125,26,2416,7,5806,3,1714,3,1924,2,9233,3,1202,2,2428,0,2415
66,74,1713,47,1583,26,5687,7,1950,3,1276,3,2679,2,9083,3,6123,2,1924,0,5687
67,74,1202,47,2696,26,1935,7,1632,3,2773,3,1761,2,1202,3,1563,2,2678,0,1935
68,74,1202,47,1202,26,1714,7,1276,3,1202,3,3858,2,1719,3,1401,2,1502,0,1714
69,74,1944,47,2393,26,1276,7,2773,3,2853,3,1202,2,1213,3,3757,2,4688,0,1276
70,74,2454,47,1731,26,2772,7,1202,3,2031,3,2357,2,1910,3,1550,2,1675,0,2773
71,74,1710,47,1202,26,1202,7,2854,3,2529,3,1776,2,2274,3,8948,2,6057,0,1202
72,74,1793,47,2855,26,2854,7,2031,3,1726,3,2455,2,9181,3,9097,2,1243,0,2855
73,74,1508,47,1202,26,2032,7,2529,3,2595,3,6270,2,1288,3,1665,2,1234,0,2032
74,74,2415,47,2170,26,1373,7,1726,3,2177,3,1776,2,4945,3,2527,2,1343,0,2530
75,74,2532,47,1993,26,1631,7,1837,3,2594,3,1478,2,1202,3,1743,2,7500,0,1726
76,74,1511,47,1295,26,4000,7,1202,3,2806,3,3069,2,7225,3,2599,2,1202,0,1837
77,74,2897,47,9154,26,1666,7,1208,3,1654,3,1299,2,1498,3,2177,2,6599,0,1202
78,74,4173,47,9055,26,6975,7,1202,3,1202,3,7077,2,1450,3,2594,2,9558,0,12400
79,74,5637,47,1989,26,1404,7,9542,3,3116,3,1398,2,8934,3,8705,2,1287,0,1465
80,74,2863,47,1260,26,1202,7,2552,3,1808,3,1202,2,308,3,1904,2,4949,0,2234
81,74,1562,47,1202,26,1202,7,1272,3,1353,3,1202,2,1202,3,1816,2,1202,0,1419
82,74,1284,47,2018,26,1303,7,1202,3,1705,3,1304,2,2282,3,1209,2,7235,0,1694
83,74,1907,47,796,26,1202,7,2018,3,1202,3,1202,2,2019,3,6004,2,1499,0,1210
84,74,1501,47,1774,26,2064,7,1202,3,1538,3,2093,2,1202,3,1329,2,1449,0,9167
85,74,2230,47,2442,26,1825,7,1202,3,9074,3,1772,2,1202,3,1202,2,8931,0,1323
86,74,2338,47,1202,26,1491,7,1202,3,309,3,1493,2,1837,3,1567,2,309,0,1202
87,74,2848,47,1202,26,1202,7,1907,3,1202,3,1202,2,1202,3,2737,2,1202,0,1567
88,74,9336,47,1706,26,1567,7,1896,3,2282,3,1567,2,2364,3,1423,2,2281,0,2736
89,74,1292,47,1814,26,2736,7,1496,3,2019,3,2736,2,1202,3,1462,2,2019,0,1422
90,74,5260,47,1458,26,1422,7,3479,3,1202,3,1423,2,1202,3,1662,2,1202,0,1462
91,74,1202,47,1461,26,1462,7,2024,3,1202,3,1462,2,1202,3,1310,2,1202,0,1662
92,74,6734,47,3206,26,1771,7,1720,3,1838,3,1721,2,1809,3,1703,2,1839,0,1309
93,74,1501,47,6180,26,1303,7,1550,3,2901,3,1306,2,1745,3,1840,2,2901,0,1703
94,74,1765,47,4607,26,1702,7,2143,3,1693,3,1703,2,1202,3,2327,2,1693,0,1839
95,74,1411,47,1202,26,1840,7,1245,3,1456,3,1840,2,9410,3,9588,2,1456,0,2327
96,74,2685,47,1636,26,2327,7,1421,3,9924,3,2326,2,3928,3,1202,2,9924,0,9588
97,74,1903,47,1475,26,6356,7,1202,3,1202,3,9448,2,1202,3,1934,2,1202,0,1202
98,74,1491,47,8121,26,1242,7,8328,3,1674,3,1202,2,1518,3,4550,2,1674,0,1934
99,74,2952,47,1501,26,1202,7,1202,3,3650,3,1961,2,2390,3,1503,2,7158,0,8026
100,74,2348,47,1202,26,1821,7,5474,3,7001,3,1202,2,1202,3,1904,2,1870,0,1202
101,74,2142,47,1806,26,3445,7,1202,3,1202,3,2364,2,2136,3,1202,2,1202,0,2951
102,74,1588,47,1736,26,2056,7,1561,3,1658,3,1202,2,1640,3,1202,2,1884,0,1202
103,74,1202,47,1597,26,2671,7,3431,3,7766,3,1202,2,1634,3,1202,2,5598,0,1555
104,74,1288,47,1836,26,1761,7,1518,3,1202,3,1202,2,1713,3,1270,2,1202,0,3114
105,74,4082,47,9982,26,2027,7,13343,3,1202,3,1809,2,1488,3,1712,2,3970,0,1551
106,74,1853,47,6538,26,1438,7,7107,3,1544,3,1745,2,12932,3,2127,2,1202,0,665
107,74,1638,47,1202,26,9096,7,1306,3,2085,3,1202,2,2158,3,1896,2,1202,0,1921
108,74,1202,47,1654,26,1383,7,1202,3,1254,3,9124,2,1442,3,1202,2,1247,0,12874
109,74,2098,47,2097,26,5487,7,1461,3,2055,3,3158,2,1548,3,1884,2,1811,0,1202
110,74,1830,47,1202,26,1707,7,2153,3,1202,3,1202,2,1202,3,5803,2,1252,0,1610
111,74,1202,47,2136,26,2660,7,1202,3,7345,3,1518,2,1820,3,1202,2,2237,0,0
112,74,2824,47,1641,26,1202,7,2136,3,1405,3,2097,2,1541,3,2487,2,1202,0,0
113,74,1202,47,1801,26,8179,7,1591,3,1639,3,1202,2,6095,3,1469,2,7105,0,0
114,74,1501,47,1801,26,1202,7,1634,3,1530,3,2136,2,1202,3,1773,2,1401,0,0
115,74,1655,47,1558,26,1202,7,1713,3,1841,3,1640,2,1413,3,1202,0,0,0,0
116,74,1299,47,322,26,1544,7,1488,3,1566,3,1634,2,5788,3,1972,0,0,0,0
117,74,1715,47,1600,26,2084,7,5514,3,1980,3,1713,2,1439,3,1853,0,0,0,0
118,74,8297,47,3807,26,1253,7,1291,3,2200,3,1488,2,9406,3,1559,0,0,0,0
119,74,9444,47,1690,26,2240,7,3579,3,1308,3,19874,2,6444,3,1202,0,0,0,0
120,74,2120,47,1571,26,1202,7,1404,3,1704,3,1202,2,1997,3,1822,0,0,0,0
121,74,1202,47,1202,26,7141,7,1639,3,2318,3,1202,2,2196,3,1540,0,0,0,0
122,74,1202,47,1419,26,1406,7,1530,3,1752,3,3159,2,3127,3,5423,0,0,0,0
123,74,1202,47,1501,26,1640,7,1841,3,2034,3,675,2,1202,3,1202,0,0,0,0
124,74,1202,47,1248,26,1530,7,1566,3,6039,3,1344,2,1891,3,1202,0,0,0,0
125,74,2492,47,1837,26,1840,7,1980,3,1305,3,1877,2,1439,3,1488,0,0,0,0
126,74,1501,47,1539,26,1567,7,2201,3,1687,3,1566,2,1202,3,5884,0,0,0,0
127,74,1202,47,6095,26,1979,7,1308,3,9774,3,1979,2,1178,3,1438,0,0,0,0
128,74,1202,47,1202,26,2202,7,1705,3,1202,3,2202,0,0,3,1429,0,0,0,0
129,74,1246,47,1412,26,1308,7,2318,3,1482,3,1308,0,0,0,0,0,0,0,0
130,74,1810,47,5785,26,1704,7,1752,3,2726,3,1704,0,0,0,0,0,0,0,0
131,74,338,47,1439,26,2316,7,2035,3,1321,3,2268,0,0,0,0,0,0,0,0
132,74,1376,47,1846,26,1752,7,2395,3,1337,3,1752,0,0,0,0,0,0,0,0
133,74,2627,47,1202,26,2035,7,1332,3,1823,3,1202,0,0,0,0,0,0,0,0
134,74,1202,47,1202,26,1708,7,1549,3,1626,3,1202,0,0,0,0,0,0,0,0
135,74,1202,47,1223,26,2101,7,1202,3,1526,3,1395,0,0,0,0,0,0,0,0
136,74,3160,47,1411,26,1467,7,1891,3,1431,3,2106,0,0,0,0,0,0,0,0
137,74,675,47,4736,26,2180,7,2728,3,1790,3,6719,0,0,0,0,0,0,0,0
138,74,1343,47,3825,26,1202,7,3039,3,1202,3,2853,0,0,0,0,0,0,0,0
139,74,1875,47,1202,26,1900,7,1202,3,2649,3,1202,0,0,0,0,0,0,0,0
140,74,1566,47,1893,26,1312,7,1621,3,1495,3,1860,0,0,0,0,0,0,0,0
141,74,1980,47,4771,26,138,7,1202,3,705,3,1311,0,0,0,0,0,0,0,0
142,74,1508,47,1202,26,1202,7,1202,3,1956,3,165,0,0,0,0,0,0,0,0
143,74,1202,47,1895,26,1858,7,1202,3,4276,3,1202,0,0,0,0,0,0,0,0
144,74,1296,47,1313,26,4580,7,2015,3,1283,3,1858,0,0,0,0,0,0,0,0
145,74,1432,47,134,26,2195,7,3281,3,1202,3,7818,0,0,0,0,0,0,0,0
146,74,1202,47,1202,26,1943,7,2045,3,1256,3,6682,0,0,0,0,0,0,0,0
147,74,2387,47,1857,26,7545,7,6570,3,1216,3,3443,0,0,0,0,0,0,0,0
148,74,1910,47,2990,26,5939,7,1202,3,1202,3,5170,0,0,0,0,0,0,0,0
149,74,1202,47,1202,26,1202,7,1639,3,2268,3,3741,0,0,0,0,0,0,0,0
150,74,1202,47,1784,26,1639,7,1933,3,2025,0,0,0,0,0,0,0,0,0,0
151,74,1395,47,1202,26,1933,7,1202,0,0,0,0,0,0,0,0,0,0,0,0
152,74,2105,47,1202,26,1202,7,3600,0,0,0,0,0,0,0,0,0,0,0,0
153,74,1412,47,1678,26,3601,7,2158,0,0,0,0,0,0,0,0,0,0,0,0
154,74,1873,47,2158,26,3680,7,2697,0,0,0,0,0,0,0,0,0,0,0,0
155,74,1202,47,1202,26,2536,7,1202,0,0,0,0,0,0,0,0,0,0,0,0
156,74,1895,47,1256,26,1483,7,6613,0,0,0,0,0,0,0,0,0,0,0,0
157,74,2424,47,2095,26,1202,7,2270,0,0,0,0,0,0,0,0,0,0,0,0
158,74,1202,47,6300,26,764,7,2288,0,0,0,0,0,0,0,0,0,0,0,0
159,74,1860,47,1680,26,1274,7,1534,0,0,0,0,0,0,0,0,0,0,0,0
160,74,1312,47,2364,26,2819,7,1552,0,0,0,0,0,0,0,0,0,0,0,0
161,74,166,47,2800,26,1202,7,2039,0,0,0,0,0,0,0,0,0,0,0,0
162,74,1202,47,1202,26,1202,7,1346,0,0,0,0,0,0,0,0,0,0,0,0
163,74,1859,47,6612,26,2456,7,1211,0,0,0,0,0,0,0,0,0,0,0,0
164,74,2990,47,2270,26,1202,7,1202,0,0,0,0,0,0,0,0,0,0,0,0
165,74,1202,47,2288,26,1202,7,1202,0,0,0,0,0,0,0,0,0,0,0,0
166,74,2196,47,1535,26,1202,7,1202,0,0,0,0,0,0,0,0,0,0,0,0
167,74,1202,47,1552,26,1331,7,2013,0,0,0,0,0,0,0,0,0,0,0,0
168,74,1202,47,2040,26,1202,7,1202,0,0,0,0,0,0,0,0,0,0,0,0
169,74,2044,47,1346,26,1376,7,1202,0,0,0,0,0,0,0,0,0,0,0,0
170,74,5938,47,1211,26,1834,7,1485,0,0,0,0,0,0,0,0,0,0,0,0
171,74,1461,47,1501,26,11884,7,6056,0,0,0,0,0,0,0,0,0,0,0,0
172,74,2702,47,1582,26,1563,7,1172,0,0,0,0,0,0,0,0,0,0,0,0
173,74,1202,47,1202,26,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,74,1251,47,1202,26,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,74,1202,47,1202,26,1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,74,2833,47,1375,26,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,74,1501,47,2080,26,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,74,1753,47,4721,26,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,74,1227,47,1501,26,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,74,1202,47,1202,26,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,74,1202,47,5773,26,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,74,1206,47,1202,26,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,74,2098,47,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,74,1202,47,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,74,1425,47,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,74,1373,47,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,74,1360,47,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,74,2670,47,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,74,1281,47,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,74,2752,47,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,74,1202,47,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,74,1775,47,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,74,4124,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,74,2585,47,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,74,2174,47,1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,74,4581,47,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,74,1202,47,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,74,1202,47,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,74,1895,47,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,74,1493,47,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,74,1283,47,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,74,2006,47,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,74,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,74,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,74,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,74,2418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,74,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,74,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,74,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,74,3261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,74,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,74,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,74,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,74,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,74,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,74,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,74,4107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,74,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,74,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,74,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,74,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,74,2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,74,2367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,74,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,74,1761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,74,2287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,74,1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
