,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,15,16743,13,53747,8,93229,2,129786,3,167806,0,207468,1,243257,2,281803,0,320214,0,356906
1,15,9244,13,1574,8,12075,2,1494,3,1526,0,7641,1,1519,2,1457,0,13007,0,1522
2,15,15518,13,7381,8,10306,2,7385,3,23979,0,10208,1,6055,2,6791,0,10279,0,7346
3,15,1552,13,9424,8,5272,2,8596,3,18799,0,9854,1,1796,2,21861,0,19309,0,20750
4,15,1733,13,5291,8,3919,2,1435,3,2638,0,1452,1,2958,2,1729,0,2750,0,2638
5,15,25576,13,3985,8,1202,2,1734,3,1202,0,1734,1,21225,2,803,0,2350,0,2527
6,15,3594,13,1202,8,18428,2,655,3,17288,0,385,1,1202,2,3622,0,6622,0,7197
7,15,5422,13,11737,8,7193,2,4070,3,1801,0,3987,1,17363,2,6691,0,6469,0,36407
8,15,19401,13,1501,8,1370,2,4283,3,1264,0,4285,1,9292,2,1202,0,1202,0,4939
9,15,1403,13,1513,8,12550,2,1460,3,9343,0,1460,1,9332,2,9778,0,19949,0,11412
10,15,1348,13,8380,8,7636,2,8634,3,9647,0,10898,1,10540,2,9474,0,1406,0,16673
11,15,11844,13,6928,8,26093,2,5017,3,7904,0,7427,1,7735,2,7939,0,13643,0,18669
12,15,15461,13,15520,8,2578,2,11526,3,8984,0,11337,1,10994,2,9025,0,9064,0,41819
13,15,3957,13,14086,8,8509,2,8158,3,6123,0,15939,1,11883,2,12805,0,14996,0,54492
14,15,9895,13,5943,8,15259,2,14058,3,8490,0,6108,1,36016,2,13028,0,35912,0,32502
15,15,27172,13,15151,8,8610,2,2601,3,1382,0,9129,1,55807,2,22586,0,16144,0,3279
16,15,1868,13,23813,8,27203,2,23961,3,40874,0,1416,1,6988,2,23884,0,1202,0,2035
17,15,6803,13,8731,8,1868,2,1383,3,55778,0,40658,1,7396,2,2011,0,14015,0,6485
18,15,21766,13,16711,8,6803,2,24465,3,32521,0,6419,1,6085,2,20908,0,1258,0,9042
19,15,13106,13,5840,8,17674,2,24467,3,3279,0,22897,1,1936,2,1202,0,1202,0,16934
20,15,8005,13,76011,8,1271,2,11979,3,2032,0,14239,1,12140,2,14912,0,14155,0,2297
21,15,11540,13,15675,8,1202,2,1202,3,10520,0,8685,1,9112,2,2013,0,14896,0,1898
