,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,47,17545,21,45225,12,79126,7,107121,3,142094,1,172418,1,203838,1,233518,0,266678,1,294938
1,47,4941,21,12911,12,8855,7,7219,3,5957,1,11694,1,12911,1,4824,0,5760,1,6503
2,47,2216,21,3172,12,9477,7,23058,3,16088,1,1672,1,6207,1,12821,0,13861,1,12073
3,47,2451,21,4259,12,26330,7,1202,3,1959,1,11964,1,1560,1,21660,0,1947,1,29553
4,47,16902,21,5946,12,7239,7,9428,3,11226,1,30036,1,2739,1,4864,0,10562,1,7308
5,47,1202,21,3071,12,3715,7,1802,3,3385,1,7335,1,10824,1,4575,0,1779,1,4686
6,47,1964,21,6411,12,1782,7,5714,3,1703,1,7160,1,3332,1,6581,0,13701,1,1787
7,47,8145,21,2077,12,1465,7,6164,3,1501,1,6714,1,1340,1,1748,0,4491,1,17166
8,47,1537,21,13978,12,9508,7,9469,3,2120,1,14398,1,7786,1,11215,0,6805,1,1202
9,47,2071,21,1455,12,1619,7,4662,3,9927,1,1202,1,8482,1,5726,0,1202,1,38759
10,47,4801,21,8998,12,1202,7,7108,3,8833,1,5687,1,1609,1,8928,0,5660,1,1923
11,47,2652,21,1583,12,1547,7,15367,3,1437,1,1617,1,1202,1,4127,0,1425,1,15146
12,47,5086,21,1202,12,1342,7,19199,3,1202,1,15815,1,1544,1,1202,0,14306,1,3009
13,47,7293,21,3134,12,14822,7,3401,3,1477,1,2969,1,1341,1,2456,0,3023,1,8780
14,47,2159,21,1275,12,5318,7,27768,3,2169,1,27761,1,13927,1,14340,0,27768,1,19969
15,47,382,21,14086,12,19828,7,2376,3,9011,1,2140,1,4114,1,4296,0,2141,1,3373
16,47,15317,21,2190,12,14790,7,8119,3,11012,1,3986,1,2560,1,3015,0,1202,1,6497
17,47,3013,21,1495,12,10736,7,1790,3,3998,1,9774,1,18491,1,3327,0,4940,1,1202
18,47,10145,21,5078,12,1202,7,1665,3,13657,1,8710,1,4803,1,1748,0,2804,1,6049
19,47,3261,21,23546,12,5174,7,7973,3,15336,1,3756,1,6355,1,18705,0,8604,1,1576
20,47,6623,21,5537,12,7539,7,2039,3,7196,1,7852,1,1202,1,1677,0,9386,1,13092
21,47,4591,21,6053,12,13406,7,5472,3,7819,1,1202,1,4880,1,1202,0,1202,1,9201
22,47,1562,21,1202,12,7982,7,17650,3,13061,1,5379,1,1202,1,17360,0,1510,1,1202
