,num_t,num_m,num_s,seed,max_samp,speed_s,P_k,Lam_T,Lam_M,speed_t,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
273,1,1,10,16,1,14,0.25,5,0,21,134,36254.970588235294,34.0,39044.08823529412,11.176470588235293,37943.867647058825,1.7647058823529411,40773.5,0.8823529411764706,55756.51470588235,0.6617647058823529,41458.132352941175,0.22058823529411764,45214.33823529412,0.058823529411764705,72517.66176470589,0.08823529411764706,42060.970588235294,0.0,73529.41176470589
274,1,1,10,3,1,14,0.25,5,0,21,149,28541.386666666665,40.04,27742.626666666667,9.626666666666667,38272.12,1.7066666666666668,37374.94666666666,1.2133333333333334,40785.68,1.2133333333333334,41752.52,1.12,51869.72,0.2,65752.09333333334,0.013333333333333334,36667.17333333333,0.05333333333333334,40574.2
275,1,1,10,29,1,14,0.25,5,0,21,131,36787.57575757576,22.09090909090909,38605.93939393939,13.363636363636363,48921.681818181816,1.2727272727272727,27829.424242424244,0.48484848484848486,26179.121212121212,0.18181818181818182,46230.90909090909,0.36363636363636365,37917.333333333336,0.42424242424242425,48387.43939393939,0.09090909090909091,18935.196969696968,0.0,75757.57575757576
276,1,1,10,5,1,14,0.25,5,0,21,121,37812.96721311475,43.67213114754098,40472.40983606558,8.39344262295082,32597.868852459018,3.7868852459016393,36522.639344262294,0.39344262295081966,63482.24590163935,1.3770491803278688,53195.852459016394,0.5245901639344263,33799.29508196721,0.0,81967.2131147541,0.06557377049180328,60217.45901639344,0.09836065573770492,52984.0
277,1,1,10,17,1,14,0.25,5,0,21,136,37429.92753623189,37.04347826086956,37455.565217391304,6.304347826086956,46465.69565217391,0.5797101449275363,48394.02898550725,0.34782608695652173,62594.27536231884,0.5797101449275363,41004.260869565216,0.21739130434782608,48311.10144927536,0.6521739130434783,36996.608695652176,0.014492753623188406,33236.40579710145,0.0,72463.76811594203
278,1,1,10,1,1,14,0.25,5,0,21,144,37751.86111111111,29.333333333333332,36606.25,10.833333333333334,40868.51388888889,1.6666666666666667,42591.180555555555,0.6944444444444444,15603.416666666666,0.625,43867.083333333336,0.013888888888888888,26297.958333333332,0.3888888888888889,27466.777777777777,0.05555555555555555,64475.569444444445,0.05555555555555555,62396.72222222222
279,1,1,10,27,1,14,0.25,5,0,21,117,38465.542372881355,51.559322033898304,38041.59322033898,3.559322033898305,33605.016949152545,4.88135593220339,41882.57627118644,1.5423728813559323,19838.254237288136,0.2542372881355932,54724.57627118644,0.2542372881355932,15575.57627118644,0.06779661016949153,77236.35593220338,0.06779661016949153,66206.35593220338,0.0,84745.7627118644
280,1,1,10,16,1,14,0.25,5,0,21,134,36254.970588235294,34.0,39044.08823529412,11.176470588235293,37943.867647058825,1.7647058823529411,40773.5,0.8823529411764706,55756.51470588235,0.6617647058823529,41458.132352941175,0.22058823529411764,45214.33823529412,0.058823529411764705,72517.66176470589,0.08823529411764706,42060.970588235294,0.0,73529.41176470589
281,1,1,10,12,1,14,0.25,5,0,21,118,38487.03389830508,42.71186440677966,50736.457627118645,8.94915254237288,53512.1186440678,2.0338983050847457,53147.542372881355,0.4745762711864407,78325.40677966102,0.6779661016949152,76852.98305084746,0.03389830508474576,79221.35593220338,0.2033898305084746,63621.27118644068,0.1016949152542373,60166.779661016946,0.01694915254237288,34965.40677966102
282,1,1,10,25,1,14,0.25,5,0,21,145,32428.178082191782,27.616438356164384,31057.027397260274,4.63013698630137,37306.49315068493,1.2465753424657535,25801.91780821918,0.2876712328767123,14008.219178082192,0.4931506849315068,35991.09589041096,0.0547945205479452,59252.09589041096,0.2054794520547945,43647.739726027394,0.0136986301369863,48238.65753424657,0.0,68493.1506849315
283,1,1,10,13,1,14,0.25,5,0,21,128,39552.15625,51.25,44644.09375,2.390625,51941.390625,8.234375,39302.296875,0.625,46850.046875,2.125,22746.1875,0.015625,76851.90625,0.703125,26678.46875,0.0625,63979.796875,0.09375,72231.40625
284,1,1,10,25,1,14,0.25,5,0,21,145,32428.178082191782,27.616438356164384,31057.027397260274,4.63013698630137,37306.49315068493,1.2465753424657535,25801.91780821918,0.2876712328767123,14008.219178082192,0.4931506849315068,35991.09589041096,0.0547945205479452,59252.09589041096,0.2054794520547945,43647.739726027394,0.0136986301369863,48238.65753424657,0.0,68493.1506849315
285,1,1,10,9,1,14,0.25,5,0,21,146,32047.41891891892,29.43243243243243,31122.567567567567,7.351351351351352,24668.08108108108,1.4189189189189189,40768.33783783784,1.2297297297297298,30192.554054054053,1.054054054054054,15474.621621621622,0.0,67567.56756756757,0.24324324324324326,35807.01351351351,0.20270270270270271,48275.91891891892,0.08108108108108109,46789.18918918919
286,1,1,10,24,1,14,0.25,5,0,21,109,47473.05454545454,43.90909090909091,50873.09090909091,10.50909090909091,34611.29090909091,2.1818181818181817,63782.818181818184,1.2,61594.69090909091,1.4,61041.67272727273,0.5818181818181818,34789.836363636365,0.21818181818181817,62829.181818181816,0.0,90909.09090909091,0.01818181818181818,42986.98181818182
287,1,1,10,11,1,14,0.25,5,0,21,146,31105.68918918919,21.18918918918919,29619.0,6.6891891891891895,32354.391891891893,2.189189189189189,32164.243243243243,0.20270270270270271,23696.108108108107,0.04054054054054054,20095.391891891893,0.6081081081081081,45761.81081081081,0.16216216216216217,48552.08108108108,0.013513513513513514,67023.1081081081,0.0,67567.56756756757
288,1,1,10,23,1,14,0.25,5,0,21,145,32213.287671232876,28.054794520547944,36562.739726027394,9.123287671232877,28608.41095890411,2.219178082191781,38636.91780821918,0.821917808219178,48090.78082191781,0.9041095890410958,23111.72602739726,0.0,68493.1506849315,0.0136986301369863,66570.34246575342,0.6164383561643836,32013.438356164384,0.0,68493.1506849315
289,1,1,10,21,1,14,0.25,5,0,21,145,35044.79452054795,34.52054794520548,41986.41095890411,7.232876712328767,30813.479452054795,3.0136986301369864,33795.931506849316,0.2465753424657534,23004.205479452055,0.0136986301369863,59353.41095890411,0.4931506849315068,29293.95890410959,0.136986301369863,54193.34246575343,0.0547945205479452,47159.91780821918,0.0,68493.1506849315
