,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,11,25890,6,86555,11,87141,0,125174,2,195242,1,195165,3,263283,1,267122,0,303327,0,371686
1,11,16901,6,5701,11,33614,0,31351,2,21984,1,28894,3,44485,1,33228,0,29574,0,25511
2,11,9799,6,9617,11,18538,0,30018,2,10423,1,21983,3,8139,1,2443,0,21982,0,10268
3,11,12778,6,8048,11,10475,0,96204,2,96023,1,10517,3,19858,1,23784,0,10568,0,31384
4,11,8048,6,11168,11,31148,0,25950,2,24464,1,31132,3,13752,1,31225,0,97945,0,13674
5,11,20108,6,18993,11,32329,0,28489,2,32493,1,53446,3,8009,1,43805,0,13760,0,10916
6,11,17397,6,19189,11,10684,0,36335,2,9432,1,59759,3,71261,1,59720,0,7924,0,7364
7,11,8171,6,74648,11,44422,0,13245,2,20092,1,28496,3,16519,1,28496,0,27898,0,8029
8,11,34098,6,19654,11,7472,0,9944,2,13376,1,29336,3,32544,1,34862,0,16831,0,25786
9,11,24529,6,9518,11,8028,0,87926,2,9945,1,13380,3,93092,1,179214,0,16495,0,30510
10,11,32718,6,19777,11,28720,0,7202,2,83054,1,9947,3,9801,1,19509,0,60023,0,9944
11,11,9505,6,15530,11,15268,0,16353,2,1354,1,88099,3,19081,1,16825,0,48688,0,133014
12,11,14158,6,10280,11,7583,0,12024,2,11255,1,7202,3,9132,1,12024,0,15785,0,0
13,11,16515,6,21091,11,50764,0,7202,2,7202,1,16353,3,3472,0,0,0,8800,0,0
14,11,57782,6,35862,11,48684,0,6138,2,16353,1,12024,0,0,0,0,0,0,0,0
15,11,12606,6,49260,11,15784,0,8594,2,12024,1,7202,0,0,0,0,0,0,0,0
16,11,21727,6,12540,11,13810,0,7216,2,7202,1,5664,0,0,0,0,0,0,0,0
17,11,12479,6,7202,11,30423,0,10096,2,4987,1,8990,0,0,0,0,0,0,0,0
18,11,14070,6,6593,11,8103,0,7153,2,8596,0,0,0,0,0,0,0,0,0,0
19,11,12024,6,8925,11,15789,0,11730,2,7216,0,0,0,0,0,0,0,0,0,0
20,11,37465,6,7773,11,11067,0,0,2,10263,0,0,0,0,0,0,0,0,0,0
21,11,7801,6,7600,11,7717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,11,17237,6,55504,11,10574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11,10528,6,12708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,11,7712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,11,26296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,11,34421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
