,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,7,32334,11,105946,2,181517,3,250629,2,321423,2,394937,1,464885,0,536893,0,607526,0,682387
1,7,7249,11,7249,2,7747,3,7971,2,7973,2,7202,1,7973,0,7972,0,7202,0,7973
2,7,7362,11,7363,2,7253,3,7252,2,7251,2,7202,1,7251,0,7252,0,8118,0,7252
3,7,8117,11,8117,2,5176,3,6076,2,7280,2,1860,1,8558,0,8549,0,7202,0,6317
4,7,948,11,948,2,3379,3,3380,2,3379,2,2563,1,3380,0,3379,0,5150,0,3379
5,7,2890,11,2890,2,2127,3,2127,2,2127,2,2503,1,2127,0,2127,0,3260,0,2127
6,7,2614,11,2614,2,3913,3,3913,2,3913,2,3623,1,3913,0,3912,0,2614,0,3913
7,7,1055,11,1055,2,2320,3,2320,2,2320,2,2320,1,2320,0,2320,0,1055,0,2320
8,7,4733,11,4733,2,5127,3,5127,2,5128,2,5128,1,5128,0,5128,0,4733,0,5127
9,7,2710,11,2710,2,1641,3,1641,2,1641,2,1641,1,1641,0,1641,0,2710,0,1641
10,7,3649,11,3650,2,1063,3,1063,2,1063,2,1063,1,1063,0,1063,0,3650,0,1063
11,7,1993,11,1993,2,4863,3,4862,2,4862,2,4863,1,4863,0,4863,0,1993,0,4863
12,7,3336,11,3336,2,1707,3,1707,2,1707,2,1707,1,1707,0,1707,0,3336,0,1707
13,7,5269,11,5269,2,7331,3,7330,2,7331,2,7330,1,7330,0,7330,0,5270,0,7330
14,7,3121,11,3121,2,3016,3,3016,2,3016,2,3016,1,3016,0,3016,0,3121,0,3016
15,7,2797,11,2797,2,1135,3,1135,2,1135,2,1135,1,1135,0,1135,0,2797,0,1135
16,7,1365,11,1365,2,3263,3,3263,2,3263,2,3263,1,3264,0,3263,0,1365,0,3263
17,7,2713,11,2713,2,4556,3,4556,2,4556,2,4556,1,4556,0,4556,0,2713,0,4556
18,7,3739,11,3739,2,3788,3,3787,2,3788,2,3788,1,3787,0,3788,0,3738,0,3787
19,7,7444,11,7444,2,11607,3,11606,2,11606,2,11607,1,11607,0,11606,0,7444,0,11606
20,7,5875,11,6397,2,7202,3,7202,2,7202,2,7202,1,7202,0,7202,0,5875,0,7202
21,7,5925,11,5925,2,4183,3,4183,2,4183,2,4183,1,4183,0,4182,0,5924,0,4183
22,7,13064,11,14578,2,3381,3,3381,2,3381,2,13571,1,9974,0,13886,0,9660,0,12758
23,7,4234,11,7619,2,9660,3,9660,2,9660,2,8050,1,8428,0,8429,0,7953,0,8429
24,7,5609,11,2317,2,5197,3,5197,2,5480,2,8387,1,8787,0,8787,0,957,0,8787
25,7,7472,11,5080,2,1114,3,957,2,958,2,4509,1,4509,0,4509,0,4347,0,4509
26,7,4347,11,7482,2,4347,3,4348,2,4347,2,7607,1,7481,0,7482,0,354,0,7482
27,7,354,11,1809,2,354,3,354,2,354,2,1809,1,1809,0,1809,0,10696,0,1809
28,7,10696,11,7659,2,10696,3,10696,2,10695,2,7660,1,7659,0,9309,0,7202,0,9591
29,7,8327,11,2576,2,8327,3,8326,2,8327,2,2576,1,3332,0,2460,0,3240,0,2178
30,7,798,11,4683,2,798,3,798,2,798,2,4683,1,4683,0,1832,0,3138,0,1832
31,7,3138,11,3660,2,3138,3,3137,2,3138,2,3660,1,3660,0,3660,0,67,0,3660
